0.5,0.,"{932285.5624060271, 2.1602819142627087*^6}"
0.5,0.05,"{930996.0692843404, 2.158350040886997*^6}"
0.5,0.1,"{929708.0437943246, 2.1564196850372422*^6}"
0.5,0.15000000000000002,"{928421.4845141862, 2.154490845742653*^6}"
0.5,0.2,"{927136.390172065, 2.152563521924405*^6}"
0.5,0.25,"{925852.759236036, 2.1506377126887846*^6}"
0.5,0.30000000000000004,"{924570.5906041426, 2.148713416831604*^6}"
0.5,0.35000000000000003,"{923289.8828620428, 2.1467906333812573*^6}"
0.5,0.4,"{922010.6346828602, 2.1448693613017784*^6}"
0.5,0.45,"{920732.8447414315, 2.142949599557134*^6}"
0.5,0.5,"{919456.5120754888, 2.1410313467941177*^6}"
0.5,0.55,"{918181.6342648949, 2.13911460293947*^6}"
0.5,0.6000000000000001,"{916908.2110760269, 2.1371993660038565*^6}"
0.5,0.65,"{915636.2408699491, 2.135285635232293*^6}"
0.5,0.7000000000000001,"{914365.7222461723, 2.133373409663273*^6}"
0.5,0.75,"{913096.6539194344, 2.131462688233188*^6}"
0.5,0.8,"{911829.034516554, 2.129553469964199*^6}"
0.5,0.8500000000000001,"{910562.8628810515, 2.1276457536661713*^6}"
0.5,0.9,"{909298.1374643651, 2.1257395385369738*^6}"
0.5,0.9500000000000001,"{908034.8572083305, 2.123834823292339*^6}"
0.5,1.,"{906773.0204217487, 2.121931607265036*^6}"
0.55,0.,"{910030.3667640121, 2.1337583023108207*^6}"
0.55,0.05,"{908881.9441595386, 2.131989063273433*^6}"
0.55,0.1,"{907734.7148970474, 2.1302210932306107*^6}"
0.55,0.15000000000000002,"{906588.6779861898, 2.128454391392713*^6}"
0.55,0.2,"{905443.8324427302, 2.12668895696659*^6}"
0.55,0.25,"{904300.1772712274, 2.124924789167511*^6}"
0.55,0.30000000000000004,"{903157.7114884459, 2.1231618872034564*^6}"
0.55,0.35000000000000003,"{902016.4341078254, 2.1214002502856036*^6}"
0.55,0.4,"{900876.3441432137, 2.1196398776253955*^6}"
0.55,0.45,"{899737.4407208549, 2.117880768365421*^6}"
0.55,0.5,"{898599.7222975802, 2.1161229221417224*^6}"
0.55,0.55,"{897463.1886734526, 2.114366337527177*^6}"
0.55,0.6000000000000001,"{896327.8385274133, 2.112611014021577*^6}"
0.55,0.65,"{895193.6708806953, 2.1108569508349467*^6}"
0.55,0.7000000000000001,"{894060.6847460943, 2.109104147186271*^6}"
0.55,0.75,"{892928.8788499242, 2.107352602559355*^6}"
0.55,0.8,"{891798.2533750605, 2.105602315114537*^6}"
0.55,0.8500000000000001,"{890668.8056260196, 2.103853285594911*^6}"
0.55,0.9,"{889540.5357459855, 2.1021055122351353*^6}"
0.55,0.9500000000000001,"{888413.4425296171, 2.100358994441743*^6}"
0.55,1.,"{887287.524928507, 2.098613731492792*^6}"
0.6,0.,"{891835.2872784677, 2.111938579659206*^6}"
0.6,0.05,"{890800.5257692436, 2.110301698359512*^6}"
0.6,0.1,"{889766.753376936, 2.108665898363179*^6}"
0.6,0.15000000000000002,"{888733.9695883212, 2.1070311788325664*^6}"
0.6,0.2,"{887702.1737374547, 2.105397539066881*^6}"
0.6,0.25,"{886671.3641691346, 2.1037649792779246*^6}"
0.6,0.30000000000000004,"{885641.5411143219, 2.102133497944177*^6}"
